id,name,type,rate,accuracy,range,stat,damage,effect1,effect2,contest
235,"Grass Knot",Grass,Battle,2,"Ranged (5)",SATK,"See Effect","1 Target, Weight Class","If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage.","Smart - 2d4 - Incentives"
236,"Grass Pledge",Grass,EOT,2,"Ranged (6)",SATK,2d8+6,"1 Target, Pledge","If used on the same turn as Water Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual. If used on the same turn as Fire Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns.","Beauty - None - Torrential Appeal"
237,"Grass Whistle",Grass,EOT,11,"Ranged (6)",,,"No Target, Burst, Sound","Grass Whistle creates a 5-meter Burst. All Legal Targets fall Asleep.","Smart - 2d4 - Excitement"
238,"Grassy Terrain",Grass,Battle,0,Effect,,,"Target Area, Weather","For 5 rounds, the area is considered Meadowed. While Meadowed, Grass Moves with Damage Dice Rolls deal  and additional 2 STAB and at the end of any Grass Type Pokemonâ€™s turn where they acted, they recover 1/16th of their full HP.","Cute - 1d4 - Good Show!"
239,"Horn Leech",Grass,Battle,2,Melee,ATK,3d10+12,"1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.","Smart - 1d4 - Good Show!"
240,Ingrain,Grass,Battle,0,Self,,,"No Target, Coat","Ingrain is a Coat with the following abilities: The user cannot be forced to switch out or flee but they can still be willingly switched out. At the beginning of each of the userâ€™s turns, the user gains 1/16th of its full HP. The user loses any immunities to Ground-Type Moves.<br/>Grants: Sprouter","Smart - None - Torrential Appeal"
241,"Leaf Blade",Grass,Battle,2,Melee,ATK,3d12+14,"1 Target, Pass","Leaf Blade is a Critical Hit on 18-20 during Accuracy Check.","Cool - 2d4 - Round Starter"
242,"Leaf Storm",Grass,Center,4,"Ranged (3)",SATK,6d12+22,"Target Area, Column","Leaf Storm creates a 2-meter Column. Lower the userâ€™s Special Attack 2 Combat Stages after damage.","Cute - 2d4 - Seen Nothing Yet"
243,"Leaf Tornado",Grass,Battle,4,"Ranged (6)",SATK,3d8+10,"No Target, Burst","Leaf Tornado creates a 2-meter Burst. On 15-20 during Accuracy Check, all Legal Targets must roll 1 higher on Accuracy Checks for the remainder of the combat.","Beauty - 1d4 - Good Show!"
244,"Leech Seed",Grass,Center,4,"Ranged (6)",,,"1 Target","At the beginning of each of the targetâ€™s turns, Leech Seedâ€™s target loses 1/8th of their full HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Leech Seedâ€™s user then gains HP equal to the amount the target lost. Leech Seed lasts until the target faints or is returned to a Poke Ball. Leech Seed cannot hit a Grass type Pokemon.","Smart - None - Torrential Appeal"
245,"Magical Leaf",Grass,EOT,0,"Ranged (10)",SATK,2d10+8,"1 Target","Magical Leaf cannot miss.","Beauty - 2d4 - Round Starter"
246,"Mega Drain",Grass,EOT,2,Melee,SATK,1d12+6,"1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.","Smart - 1d4 - Good Show!"
247,"Needle Arm",Grass,EOT,2,Melee,ATK,2d10+8,"1 Target","Needle Arm Flinches the target on 15-20 during Accuracy Check.","Smart - 3d4 - No Effect"
248,"Petal Blizzard",Grass,Battle,2,"Ranged (4)",ATK,3d12+19,"No Target, Burst","Petal Blizzard creates a 4-meter Burst.","Smart - 3d4 - No Effect"
249,"Petal Dance",Grass,Center,3,"Ranged (3)",SATK,5d12+18,"No Target, Burst","Petal Danceâ€™s user must make another Ranged attack for 1d2 more turns. The attack is identical to Petal Dance except for Petal Danceâ€™s effect. Petal Dance creates a 3-meter Burst, but only on the first round of its use. After the first use is declared, Petal Dance targets the nearest Legal Target for its second or third round of use if the original target is unconscious. If potential targets are an equal distance from the user, you may choose the target. After Petal Danceâ€™s additional use(s) end(s), the user becomes Confused. For Pokemon users, the additional 1d2 are their Trainerâ€™s Command Actions, unless the Trainer is unconscious, in which case the Pokemon acts on its own until finished.","Beauty - None - Torrential Appeal"
250,"Power Whip",Grass,Battle,5,"Ranged (10)",ATK,5d12+18,"1 Target","Grants: Threaded","Beauty - 3d4 - No Effect"
251,"Razor Leaf",Grass,At-Will,4,"Ranged (10)",ATK,2d10+8,"1 Target","Razor Leaf is a Critical Hit on 18-20 during Accuracy Check.","Cool - 3d4 - No Effect"
252,"Seed Bomb",Grass,EOT,2,"Ranged (8)",ATK,3d10+12,"1 Target, Blast","Seed Bomb creates a 2-meter Blast.","Smart - 3d4 - No Effect"
253,"Seed Flare",Grass,Center,5,"Ranged (15)",SATK,5d12+18,"1 Target, Blast","Seed Flare creates a 3-meter Blast. All Legal Targets have their Special Defense lowered 1 Combat Stage.","Cool - 2d4 - Seen Nothing Yet"
254,"Sleep Powder",Grass,Center,6,"Ranged (6)",,,"1 Target, Blast","Sleep Powder creates a 1-meter Blast. All Legal Targets fall Asleep.","Smart - None - Inversed Appeal"
255,"Solar Beam",Grass,Battle,2,"Ranged (10)",SATK,5d12+18,"1 Target, Column, Set Up","Once you declare the use of Solarbeam, the userâ€™s turn ends. On its next turn, the user may shift and use Solarbeamâ€™s damage. If the user is in Sunny Weather, Solarbeam uses its damage on the turn you declare its use. If the user is in Rainy or Sand Storming Weather Solarbeamâ€™s user must end their turn immediately at the start of their second turn after declaring Solarbeamâ€™s use, only getting to use Solarbeamâ€™s damage on the third turn. If the user is in Hailing Weather, Solarbeamâ€™s damage is 3d10. Solarbeam creates a Column 1 meter wide.","Cool - 1d4 - Special Attention"
256,"Spiky Shield",Grass,Center,0,Self,,,"No Target, Intercept","If the user is hit by a Move, instead you are not hit by the Move. You do not take any damage nor are you affected by any of the Moveâ€™s effects. If the Move was Melee ranged, the attacker loses 1/8th of their full HP. Do not apply weakness or resistance when losing HP this way.","Cute - None - Inversed Appeal"
257,Spore,Grass,Center,0,"Ranged (6)",,,"1 Target","The target falls Asleep.","Beauty - 2d4 - Get Ready!"
258,"Stun Spore",Grass,At-Will,11,"Ranged (6)",,,"1 Target, Blast","Stun Spore creates a 1-meter Blast. Stun Spore paralyzes al Legal Targets.","Smart - 2d4 - Excitement"
259,Synthesis,Grass,Center,0,Self,,,"No Target","The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains Â¼ of their full HP.<br/>Grants: Sprouter","Smart - None - Reflective Appeal"
260,"Vine Whip",Grass,At-Will,2,"Ranged (10)",ATK,1d12+6,"1 Target","Grants: Threaded","Cool - 3d4 - No Effect"
261,"Wood Hammer",Grass,EOT,2,Melee,ATK,5d12+18,"1 Target, Dash, Push, Recoil 1/3","The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Wood Hammer deals damage, Recoil.","Tough - 2d4 - Round Ender"
262,"Worry Seed",Grass,Battle,2,"Ranged (8)",,,"1 Target","The targetâ€™s Ability is replaced with Insomnia. If the target has multiple Abilities, Worry Seed only replaces one.","Beauty - 2d4 - Excitement"
263,"Bone Club",Ground,EOT,5,Melee,ATK,3d8+10,"1 Target","Bone Club Flinches the target on 18-20 during Accuracy Check.","Tough - 3d4 - No Effect"
264,"Bone Rush",Ground,EOT,4,Melee,ATK,1d10+4,"1 Target, Scatter","Bone Rush can hit up to 5 times. Once the user misses, they cannot attempt to make another Bone Rush attack on that turn.","Tough - 2d4 - Reliable"
265,Bonemerang,Ground,EOT,3,"Ranged (8)",ATK,2d12+8,"1 Target, Scatter","Bonemerang can hit up to 2 times. If Bonemerang misses its first target, you may still use it a second time.","Tough - 2d4 - Reliable"
266,Bulldoze,Ground,EOT,2,"Ranged (3)",ATK,2d10+8,"No Target, Burst","Bulldoze creates a 3-meter Burst. All Legal Targets are lowered 1 Speed Combat Stage.","Cool - 3d4 - No Effect"
267,Dig,Ground,Battle,2,Melee,ATK,3d10+12,"1 Target, Dash, Set Up","Once you declare the use of Dig, the user is moved underground and their turn ends. On the next turn, Digâ€™s user may shift, using their Overland or Burrow Speed then uses Digâ€™s damage. While underground, Digâ€™s user may not be the target of Moves.<br/>Grants: Burrow +3","Smart - 1d4 - Special Attention"
268,"Drill Run",Ground,EOT,3,Melee,ATK,3d10+12,"1 Target","Drill Run is a Critical Hit on 18-20 during Accuracy Check.","Cool - 3d4 - No Effect"
269,"Earth Power",Ground,Battle,2,"Ranged (6)",SATK,3d12+14,"1 Target, Blast","Earth Power creates a 3-meter Blast. Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16-20 during Accuracy Check.","Smart - 2d4 - Round Ender"
270,Earthquake,Ground,Battle,2,"Ranged (5)",ATK,4d12+16,"No Target, Burst","Earthquake creates a 5-meter Burst. Earthquake can hit targets using the Move Dig.<br/>Grants: Groundshaper","Tough - 2d4 - Round Ender"
271,Fissure,Ground,Center,15,"Ranged (5)",,,"1 Target, Column","Fissure creates a Column that is 3-meters wide. All Legal Targets have their HP set to 0. Fissure can hit targets using the Move Dig.","Tough - None - Big Show"
272,"Landâ€™s Wrath",Ground,Battle,2,"Ranged (5)",ATK,4d12+16,"No Target, Burst","Landâ€™s Wrath creates a 5-meter Burst.<br/>Grants: Groundshaper","Tough - 2d4 - Round Ender"
273,Magnitude,Ground,EOT,2,"Ranged (2)",ATK,"See Effect","No Target, Burst","Magnitude creates a 2-meter Burst. Roll 1d6. On a result of 1, use 1d4 for damage. On a result of 2, use 1d8 for damage. On a result of 3, use 2d8 for damage. On a result of 4, use 2d10 for damage. On a result of 5, use 3d10 for damage. On a result of 6, use 4d10 for damage. Magnitude can hit targets using the Move Dig.<br/>Grants: Groundshaper","Tough - 2d4 - Round Ender"
274,"Mud Bomb",Ground,EOT,4,"Ranged (6)",SATK,3d8+10,"1 Target, Blast","Mud Bomb creates a 1-meter Blast. All Legal Targets must roll +1 during Accuracy Checks for the remainder of the encounter on 17-20 during Accuracy Check.","Smart - 2d4 - Round Ender"
275,"Mud Shot",Ground,EOT,3,"Ranged (3)",SATK,2d10+8,"1 Target, Column","Mud Shot creates a Column 1 meter wide. All Legal Targets have their Speed lowered 1 Combat Stage.","Tough - 2d4 - Slow Set"
276,"Mud Sport",Ground,EOT,0,"Ranged (8)",,,"1 Target, Coat","Mud Sport makes a Coat that resists Electric Moves. Mud Sport can Target Self.","Cute - 2d4 - Hold That Thought"
277,Mud-Slap,Ground,EOT,2,"Ranged (2)",SATK,1d6+3,"1 Target, Column","Mud-Slap creates a Column 1-meter wide. All Legal Targets must roll +1 during Accuracy Checks for the remainder of the encounter.","Cute - 3d4 - No Effect"
278,Rototiller,Ground,Battle,0,"Ranged (10)",,,"No Target","All Grass Type allies within 10 meters of the user have their Attack raised 1 Combat Stage and their Special Attack raised 1 Combat Stage.","Smart - 2d4 - Seen Nothing Yet"
279,"Sand Tomb",Ground,EOT,4,"Ranged (6)",ATK,1d12+6,"1 Target, Trap","Sand Tomb Traps the target for 1d4+1 turns. At the beginning of the targetâ€™s turn, if the target is Trapped, roll 1d20 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Sand Tomb may not trap more then one target at a time.","Smart - None - Torrential Appeal"
280,Sand-Attack,Ground,EOT,2,"Ranged (2)",,,"1 Target, Column","Sand-Attack creates a Column 1 meter wide. All Legal Targets must roll +1 during Accuracy Checks for the remainder of the encounter.","Cute - 1d4 - Excitement"
281,Spikes,Ground,At-Will,0,"Ranged (6)",,,"No Target, Hazard","Set 10 square meters of Spikes, all 10 meters must be adjacent with at least one other space of Spikes next to each other. Spikes cause all foes to lose 1/8th of their full HP when moving onto or over the occupied spaces with an Overland Capability. If there are 2 Layers of Spikes on the same space, the foes lose 1/6th of their full HP. If there are 3 or more Layers of Spikes on the same space, the foes lose 1/4th of their full HP.","Smart - 2d4 - Hold That Thought"
282,"Aurora Beam",Ice,EOT,2,"Ranged (6)",SATK,3d8+10,"1 Target, Column","Aurora Beam creates a Column 1 meter wide. Aurora Beam lowers the targetâ€™s Attack 1 Combat Stage on 18-20 during Accuracy Check.<br/>Grants: Freezer","Beauty - 2d4 - Round Starter"
283,Avalanche,Ice,Battle,2,"Ranged (5)",ATK,2d10+8,"1 Target, Column","Avalanche creates a Column 2-meters wide. If a target damaged Avalancheâ€™s user on their last turn, deal an additional 2d10 during Damage Dice Roll.","Cool - 2d4 - Final Appeal"
284,Blizzard,Ice,Battle,7,"Ranged (6)",SATK,5d12+18,"1 Target, Column","Blizzard creates a Column that is 3-meters wide. Blizzard Freezes all legal targets on 16-20 during accuracy Check. If the target is in Hailing Weather, Blizzard cannot miss.<br/>Grants: Freezer","Beauty - 2d4 - Round Starter"
285,Freeze-Dry,Ice,EOT,2,"Ranged (4)",SATK,1d12+16,"1 Target","Freeze-Dry Freezes the Target on 19-20 during Accuracy Check. When applying weakness and resistance, Freeze-Dry is always super-effective on Water-type Pokemon.<br/>Grants: Freezer","Beauty - 2d4 - Round Starter"
286,"Freeze Shock",Ice,Center,4,"Ranged (10)",ATK,6d12+22,"1 Target, Column, Push","Freeze Shock creates a Column 2-meters wide. All Legal Targets are pushed 10-meters and take an additional 1d6 if Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Freeze Shock paralyzes all Legal Targets on 15-20 on Accuracy Check.","Beauty - 2d4 - Seen Nothing Yet"
287,"Frost Breath",Ice,Battle,4,"Ranged (2)",SATK,20,"1 Target","Frost Breath is a Critical Hit. Do not double Frost Breathâ€™s Damage Dice Roll for Crtical Hits.","Beauty - 3d4 - No Effect"
288,Glaciate,Ice,Battle,3,"Ranged (5)",SATK,3d8+10,"1 Target","Glaciate creates a 5-meter Burst. All Legal Targets have their Speed lowered 1 Combat Stage. On a roll of 11-20 during Accuracy Check, all Legal Targets on the ground are Trapped and cannot shift for 2 rounds.","Beauty - 3d4 - No Effect"
289,Hail,Ice,Battle,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Hailing. At the beginning of each round, all non-Ice Type Pokemon lose 1/16th of their full HP. Ice Type Pokemon are treated as if their Defense is raised 2 Combat Stages while Hailing.","Beauty - 2d4 - Hold That Thought"
290,Haze,Ice,At-Will,0,"No Effect",,,"Target Area, Weather","For 3 rounds, the area is considered Hazy. Hazy does not replace other Weather Statuses. In Hazy Weather, all Combat Stages get set to 0.","Beauty - 2d4 - Hold That Thought"
291,"Ice Ball",Ice,EOT,4,Melee,ATK,1d10+4,"1 Target, Pass","The user must use Ice Ball until it misses, or fails to be able to shift enough to hit a target for their next 4 turns. On the second turn, Ice Ball uses 2d10+8 for its Damage Dice Roll. On the third turn, Ice Ball uses 2d10+12. On the fourth turn, Ice Ball uses 3d10+16. On the fifth and final turn, Ice Ball uses 4d10+20.","Beauty - 2d4 - Reliable"
292,"Ice Beam",Ice,Battle,2,"Ranged (8)",SATK,4d12+16,"1 Target, Column","Ice Beam creates a Column 1 meter wide. Ice Beam Freezes all Legal Targets on 19-20 during Accuracy Check.<br/>Grants: Freezer","Beauty - 2d4 - Round Starter"
293,"Ice Burn",Ice,Center,4,"Ranged (10)",SATK,6d12+22,"1 Target, Column","Ice Burn creates a Column 2-meters wide. All Legal Targets are pushed 10-meters and take an additional 1d6 if Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Ice Burn Burns all Legal Targets on 15-20 on Accuracy Check.","Beauty - 2d4 - Seen Nothing Yet"
294,"Ice Fang",Ice,EOT,3,Melee,ATK,3d8+10,"1 Target","Ice Fang Freezes or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Frozen or Flinches. On 20 during Accuracy Check, the foe is Frozen and Flinches.","Cool - 3d4 - No Effect"
295,"Ice Punch",Ice,EOT,2,Melee,ATK,3d10+12,"1 Target","Ice Punch Freezes the target on 19-20 during Accuracy Check.","Beauty - 2d4 - Round Starter"
296,"Ice Shard",Ice,At-Will,2,"Ranged (10)",ATK,1d12+6,"1 Target, Interrupt","If a foe wants to declare a Move, you may instead use Ice Shard on their turn before they can use their Move.","Beauty - 2d4 - Quick Set"
297,"Icicle Crash",Ice,Battle,4,"Ranged (6)",ATK,3d12+14,"1 Target","Icicle Crash Flinches the target on 15-20 during Accuracy Check.","Tough - 3d4 - No Effect"
298,"Icicle Spear",Ice,EOT,4,"Ranged (6)",ATK,1d10+4,"1 Target, Scatter","Icicle Spear can hit up to 5 times. Once the user misses, they cannot attempt to make another Icicle Spear attack on that turn.","Beauty - 2d4 - Reliable"
299,"Icy Wind",Ice,EOT,3,"Ranged (6)",SATK,2d10+8,"1 Target, Column","Icy Wind creates a Column 1-meter wide. All Legal Targets have their Speed lowered 1 Combat Stage.","Beauty - 2d4 - Slow Set"
300,Mist,Ice,At-Will,0,"Ranged (5)",,,"1 Target, Coat","The target with Mistâ€™s Coat may not have their Combat Stages lowered. Mist can Target Self.","Beauty - 2d4 - Hold That Thought"
301,"Powder Snow",Ice,At-Will,2,"Ranged (3)",SATK,1d12+6,"1 Target, Column","Powder Snow creates a 1-meter wide. Powder Snow Freezes all Legal Targets on 19-20 during Accuracy Check.<br/>Grants: Freezer","Beauty - 3d4 - No Effect"
302,"Sheer Cold",Ice,Center,16,"Ranged (4)",,,"1 Target, Blast","Sheer Cold creates 3-meter Blast. All Legal Targets have their HP set to 0.<br/>Grants: Freezer","Beauty - 2d4 - Big Show"
303,Acupressure,Normal,EOT,2,Melee,,,"1 Target or Target Self","Roll 1d6. On a result of 1, raise the targetâ€™s Attack 2 Combat Stages. On a result of 2, raise the targetâ€™s Defense 2 Combat Stages. On a result of 3, raise the targetâ€™s Special Attack 2 Combat Stages. On a result of 4, raise the targetâ€™s Special Defense 2 Combat Stages. On a result of 5, raise the targetâ€™s Speed 2 Combat Stages. On a result of 6, the target needs -2 to hit during Accuracy Checks.","Cool - None - Get Ready!"
304,"After You",Normal,Center,0,Self,,,"1 Target","The target goes first during the next round of combat, ignoring Speed stats. They may not be Interrupted by any Moves that round.","Smart - 2d4 - Slow Set"
305,Assist,Normal,Battle,0,Self,,,"No Target","Randomly select another pokemon on the userâ€™s roster and then randomly select a Move that Pokemon knows. Assistâ€™s user uses that Move immediatley.","Cute - 2d4 - Scrambler"
306,Attract,Normal,EOT,2,"Ranged (10)",,,"1 Target","Attract Infatuates the target. Attract may not affect something that is the same gender as the user or something that is genderless.","Cute - 2d4 - Excitement"
307,Barrage,Normal,EOT,4,"Ranged (8)",ATK,1d6+3,"1 Target, Scatter","Barrage can hit up to 5 times. Once the user misses, they cannot attempt to make another Barrage attack on that turn.","Tough - 2d4 - Reliable"
308,"Baton Pass",Normal,At-Will,0,Self,,,"No Target","The user is replaced with another pokemon from their trainerâ€™s roster. All Combat Stages and Coats on Baton Passâ€™ user are transferred to the replacement. Baton Pass can ignore Traps, but the replacement is then Trapped.","Cute - None - Inversed Appeal"
309,"Belly Drum",Normal,Battle,0,Self,,,"1 Target","Belly Drumâ€™s user loses HP equal to half of its full HP. Do not appliy the userâ€™s stats to the HP lost. Belly Drum sets the userâ€™s Attack to +6 Combat Stages.","Cute - None - Get Ready!"
310,Bestow,Normal,Battle,2,"Ranged (4)",,,"1 Target","The user gives its held item to the target, unless the target is already holding an item.","Cute - None - Attention Grabber"
311,Bide,Normal,Battle,0,"Ranged (15)",,,"1 Target, Intercept","You may use Bide as an Intercept upon being targeted by a Move. After declaring the use of Bide, the user ends their turn. At the start of their next turn, end their turn. On the turn after that, add up all of the damage the user has taken in the past 2 turns, call that total X. Bideâ€™s Target loses HP equal to twice the value of X. Do not apply weakness or resistance to the HP lost as a result of Bide. Do not apply stats to the HP lost as a result of Bide. Bide cannot miss.","Tough - 2d4 - Final Appeal"
312,Bind,Normal,EOT,4,Melee,ATK,1d6+3,"1 Target, Trap","Bind Traps the target and the user for 1d4+1 turns. At the beginning of the targetâ€™s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Bind may not trap more then one target at a time unless the User is Huge or Gigantic.","Tough - None - Torrential Appeal"
313,Block,Normal,Battle,2,Melee,,,"1 Target, Trap","Both the user and the target are Trapped.","Cute - 2d4 - Hold That Thought"
314,"Body Slam",Normal,EOT,2,Melee,ATK,3d12+14,"1 Target","Body Slam Paralyzes the target on 15-20 during Accuracy Check.","Tough - 3d4 - No Effect"
315,Boomburst,Normal,Center,2,"Ranged (4)",SATK,5d12+25,"No Target, Burst, Sound","Boomburst creates a 4-meter Burst.","Smart - 3d4 - No Effect"
316,Camouflage,Normal,EOT,0,Self,,,"1 Target","The user changes their Type to match the field. Forests and grassy areas change the user into Grass-Type. Watery areas change the user into Water-Type. Caves and Mountains could change the user into Rock-Type or Ground-Type. An icy terrain would turn the user into Ice- Type. A building may change the user into Steel-Type or Normal-Type. Weather affects what Type the user becomes. Use common sense, if you are having difficult determining what type the user should become, consult the GM.<br/>Grants: Blender","Smart - 2d4 - Hold That Thought"
317,Captivate,Normal,EOT,2,"Ranged (10)",,,"1 Target","Captivate lowers the targetâ€™s Special Attack 2 Combat Stages. Captivate may not affect something that is the same gender as the user or something that is genderless.","Beauty - 2d4 - Excitement"
318,Celebrate,Normal,At-Will,0,Self,,,"No Target",,"Cute - None - Inversed Appeal"
319,"Chip Away",Normal,EOT,2,Melee,ATK,3d8+10,"1 Target","Ignore any changes in the targetâ€™s Defense or Special Defense when calculating damage.","Tough - 2d4 - Reliable"
320,"Comet Punch",Normal,EOT,4,Melee,ATK,1d6+3,"1 Target, Scatter","Comet Punch can hit up to 5 times. Once the user misses, they cannot attempt to make another Comet Punch attack on that turn. When adding stats only add Â½ Attack.","Tough - 2d4 - Reliable"
321,Confide,Normal,At-Will,2,"Ranged (4)",,,"1 Target, Sound","The targetâ€™s Special Attack is lowered 1 Combat Stage.","Cute - 2d4 - Excitement"
322,Constrict,Normal,At-Will,2,Melee,ATK,1d6+1,"1 Target","Constrict lowers the targetâ€™s Speed 1 Combat Stage.","Tough - None - Torrential Appeal"
323,Conversion,Normal,At-Will,0,Self,,,"No Target","The user becomes the elemental Type of their choice as long as they have a Move that is the same elemental Type until the end of the encounter. Replace all other Types.","Beauty - 1d4 - Catching Up"
324,Conversion2,Normal,At-Will,0,Self,,,"1 Target","The user becomes the elemental Type of their choice as long as the Type resists the elemental Type of the Move it last took damage from until the end of the encounter. Replace all other Types.","Beauty - 1d4 - Catching Up"
325,Copycat,Normal,Center,0,"Ranged (15)",,,"1 Target","Use the Move the target has used on their last turn. You may choose new targets for the Move. Copycat cannot miss.","Cool - None - Attention Grabber"
326,Covet,Normal,Battle,2,Melee,ATK,2d10+8,"1 Target","Covet takes the targetâ€™s held item and attaches it to Covetâ€™s user, if the user is not holding anything.","Cute - None - Attention Grabber"
327,"Crush Claw",Normal,EOT,3,Melee,ATK,3d10+12,"1 Target, Dash","Crush Claw lowers the target's Defense 1 Combat Stage on 11-20 during Accuracy Check.","Cool - 3d4 - No Effect"
328,"Crush Grip",Normal,Battle,2,Melee,ATK,5d12+18,"1 Target","For every 10% the target is below their full HP, Crush Gripâ€™s Damage Dice Roll is reduced by 1d12 to a minimum of 20.","Tough - 2d4 - Final Appeal"
329,Cut,Normal,At-Will,3,Melee,ATK,2d8+6,"1 Target",,"Cool - 3d4 - No Effect"
330,"Defense Curl",Normal,At-Will,0,Self,,,"No Target","Defense Curl raises the userâ€™s Defense 1 Combat Stage. If the user uses the Move Ice Ball or Rollout later in the encounter without having been switched out, each hit deals an additional 1d12+4 during Damage Dice Roll. The extra damage bonus for Ice Ball or Rollout does not stack.","Cute - 2d4 - Hold That Thought"
331,Disable,Normal,EOT,2,"Ranged (10)",,,"1 Target","Name a Move. For the remainder of the encounter, the target may not use that Move; the Move is considered Disabled. A target may not have more then 1 Move Disabled, if a new move is Disabled, the last Disabled Move is no longer Disabled.","Smart - 2d4 - Excitement"
332,"Dizzy Punch",Normal,Battle,2,Melee,ATK,3d8+10,"1 Target, Push","The target is Pushed 2-meters. Dizzy Punch Confuses the target on 17-20 during Accuracy Check.","Cool - None - Inversed Appeal"
333,"Double Hit",Normal,EOT,3,Melee,ATK,1d12+6,"1 Target, Scatter","Double Hit can hit up to 2 times. If Double Hit misses its first target, you may still use it a second time.","Smart - 2d4 - Reliable"
334,"Double Team",Normal,Center,0,Self,,,"No Target","The user makes three copies of themselves and places them into the encounter adjacent to the user. The user must place some sign under the token of the original copy to mark it as the original. If a copy is hit by a damaging Move, it is destroyed. If the original is hit by a damaging Move, all copies are destroyed. Any copy can perform a Move but the user is still only allowed one Move per turn. All copies may shift each turn. When the user and its copies are targeted by a Move, foes must roll +2 during Accuracy Check to hit for the remainder of the encounter. When a copy disappears, the user loses 1d6 HP. Do not apply weakness or resistance to HP lost. Do not apply stats to HP lost.","Cool - 2d4 - Reliable"
335,Double-Edge,Normal,EOT,2,Melee,ATK,5d12+18,"1 Target, Dash, Push, Recoil 1/3","The target is pushed back 5-meters. The target takes an additional 1d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12. After Double-Edge deals damage, Recoil.","Tough - None - Big Show"
336,"Double Slap",Normal,EOT,4,Melee,ATK,1d6+1,"1 Target, Scatter","Double Slap can hit up to 5 times. Once the user misses, they cannot attempt to make another Double Slap attack on that turn.","Tough - 2d4 - Reliable"
337,"Echoed Voice",Normal,At-Will,2,"Ranged (10)",SATK,1d12+6,"1 Target, Sound","For every consecutive use of Echoed Voice, add 1d20 to its Damage Dice Roll to a maximum of 5d20. Consecutive uses of Echoed Voice can be used across different Pokemon. If Echoed Voice is not used at least once every turn, the consecutive uses of Echoed Voice reset.","Smart - 2d4 - Reliable"
338,"Egg Bomb",Normal,Battle,6,"Ranged (8)",ATK,4d12+16,"1 Target, Blast","Egg Bomb creates a 2-meter Blast.","Tough - 3d4 - No Effect"
339,Encore,Normal,Center,2,"Ranged (10)",,,"1 Target","The target must use the same Move that it most recently used for the next 1d2+1 turns. If the Frequency of the move doesnâ€™t allow the Move to be used so often, the target instead cannot use a Move.","Cute - 1d4 - Good Show!"
340,Endeavor,Normal,Center,2,Melee,,,"1 Target, Dash","The targetâ€™s HP is set to equal the userâ€™s HP if the userâ€™s current HP is less then the targetâ€™s current HP. If the userâ€™s HP is equal to or greater than the targetâ€™s HP nothing happens.","Tough - 2d4 - Final Appeal"
341,Endure,Normal,Center,0,Self,,,"No Target, Intercept","If the user is being hit by a damaging Move, you may use Endure. If the Move would bring Endureâ€™s user down to 0 HP or less, Endureâ€™s user instead is set to 1 HP.","Tough - 2d4 - Hold That Thought"
342,Entrainment,Normal,Battle,2,"Ranged (10)",,,"1 Target","Entrainment changes one of the targetâ€™s abilities into one Ability that the user has for 1d4+1 turns.","Cute - 1d4 - Catching Up"
343,Explosion,Normal,Center,2,"Ranged (7)",ATK,6d20+55,"No Target, Burst","Explosion creates a 7-meter Burst. The userâ€™s HP is set to -50% of their full HP. If the user is above Loyalty 1, their Loyalty is lowered at least 1 stage.","Beauty - None - Big Show"
344,Extremespeed,Normal,Battle,2,Melee,ATK,3d10+12,"1 Target, Dash, Interrupt","If a foe wants to declare a Move, you may instead use Extremespeed on their turn before they can use their Move. Extremespeed may not be Interrupted. After the user finishes the damage step of their turn, they may shift again.","Cool - 2d4 - Quick Set"
345,Facade,Normal,EOT,2,Melee,ATK,3d8+10,"1 Target","If the user is afflicted with a Status effect, use an additional 4d12 during Damage Dice Roll. If the user is afflicted with a Status effect, FaÃ§adeâ€™s Frequency drops (EOT to Battle or At-Will to EOT).","Cute - 2d4 - Final Appeal"
